,word1,word2,prediction
0,abandon,frost,-0.8945938272819213
1,abandon,railroad,-0.7646127464784127
2,abortion,religion,-0.5368912092811726
3,abstract,candle,-0.8463459256762265
4,abstract,frog,-0.8412704661161401
5,abstract,moon,-0.8384462117496221
6,abstract,rally,-0.9996106516274361
7,abuse,abuse,0.0
8,abuse,disorder,-0.4927712965860598
9,accommodate,adjust,-0.515991378492218
10,accommodation,accommodation,0.0
11,accompany,walking,-0.7646107482744804
12,account,explanation,-0.5589019552432494
13,account,invoice,-0.5296302916914465
14,act,improvement,-0.7830602052511394
15,action,adjustment,-0.7160016029507383
16,action,entrance,-0.8702667231903994
17,activity,solo,-0.9208559238457521
18,activity,variation,-0.6663250328732173
19,actor,amateur,-0.7408400753081867
20,ad,track,-0.7900012933324987
21,add,increased,-0.7477806561853597
22,add,string,-0.6487454368502306
23,addition,segment,-0.6945805250065247
24,admitting,confess,-0.4053374011902019
25,adult,dentist,-0.7485105700381509
26,advance,advance,0.0
27,advance,string,-0.8774714280336348
28,advice,recommendation,-0.4602207396798539
29,advised,murder,-0.8048673355857945
30,aerial,clown,-0.8948790353024434
31,africa,territory,-0.8139482947216337
32,age,history,-0.5801141241188288
33,agency,police,-0.5891831998000295
34,aim,intending,-0.5513334570343587
35,air,cold,-0.4929952842221986
36,air,plasma,-0.6985179958028364
37,air,satellite,-0.604947684081447
38,aircraft,fleet,-0.3573399477439839
39,aircraft,flight,-0.329697922175894
40,aircraft,yacht,-0.6077637712539157
41,airplane,plane,-0.20127074747205875
42,ale,bitter,-0.5798828197740815
43,alley,street,-0.3575045977380179
44,aluminum,component,-0.6733925214661176
45,aluminum,imperative,-0.9398941863324238
46,american,lobster,-0.7772518753932907
47,ammunition,intolerable,-0.8537966550400125
48,amount,number,-0.48832554645181936
49,amounted,make,-0.8678761450441352
50,amusement,athletics,-0.7619826065561865
51,amusement,procedure,-0.9192496544116647
52,anatomy,palm,-0.8224869082645663
53,ancient,city,-0.5661699901171959
54,angel,asphalt,-0.9020941795469585
55,angel,pod,-0.8006764397883438
56,angrier,stormy,-0.8176680964762816
57,animal,asia,-0.7139019211836231
58,animal,flora,-0.6082679242765396
59,animal,giraffe,-0.5230730688870056
60,animal,mural,-0.7487938177785007
61,animal,wild,-0.44657099832462277
62,animal,worm,-0.6524978520456026
63,animal,zoo,-0.39069628699288284
64,anniversary,marriage,-0.6513183983038402
65,answering,counter,-0.7533714704971606
66,anxiety,insecurities,-0.5380415504016909
67,apartment,staircase,-0.6182068112986177
68,appliance,dryer,-0.5240109509506388
